#DIST  #NOX
4.0900	0.5380
4.9671	0.4690
4.9671	0.4690
6.0622	0.4580
6.0622	0.4580
6.0622	0.4580
5.5605	0.5240
5.9505	0.5240
6.0821	0.5240
6.5921	0.5240
6.3467	0.5240
6.2267	0.5240
5.4509	0.5240
4.7075	0.5380
4.4619	0.5380
4.4986	0.5380
4.4986	0.5380
4.2579	0.5380
3.7965	0.5380
3.7965	0.5380
3.7979	0.5380
4.0123	0.5380
3.9769	0.5380
4.0952	0.5380
4.3996	0.5380
4.4546	0.5380
4.6820	0.5380
4.4534	0.5380
4.4547	0.5380
4.2390	0.5380
4.2330	0.5380
4.1750	0.5380
3.9900	0.5380
3.7872	0.5380
3.7598	0.5380
3.3603	0.4990
3.3779	0.4990
3.9342	0.4990
3.8473	0.4990
5.4011	0.4280
5.4011	0.4280
5.7209	0.4480
5.7209	0.4480
5.7209	0.4480
5.7209	0.4480
5.1004	0.4480
5.1004	0.4480
5.6894	0.4480
5.8700	0.4480
6.0877	0.4480
6.8147	0.4390
6.8147	0.4390
6.8147	0.4390
6.8147	0.4390
7.3197	0.4100
8.6966	0.4030
9.1876	0.4100
8.3248	0.4110
7.8148	0.4530
6.9320	0.4530
7.2254	0.4530
6.8185	0.4530
7.2255	0.4530
7.9809	0.4530
9.2229	0.4161
6.6115	0.3980
6.6115	0.3980
6.4980	0.4090
6.4980	0.4090
6.4980	0.4090
5.2873	0.4130
5.2873	0.4130
5.2873	0.4130
5.2873	0.4130
4.2515	0.4370
4.5026	0.4370
4.0522	0.4370
4.0905	0.4370
5.0141	0.4370
4.5026	0.4370
5.4007	0.4260
5.4007	0.4260
5.4007	0.4260
5.4007	0.4260
4.7794	0.4490
4.4377	0.4490
4.4272	0.4490
3.7476	0.4490
3.4217	0.4890
3.4145	0.4890
3.0923	0.4890
3.0921	0.4890
3.6659	0.4640
3.6659	0.4640
3.6150	0.4640
3.4952	0.4450
3.4952	0.4450
3.4952	0.4450
3.4952	0.4450
3.4952	0.4450
2.7778	0.5200
2.8561	0.5200
2.7147	0.5200
